CourseID,Title,Credits,DepartmentID,FacultyID,TermID
142,Compatible didactic leverage,1,9,75,2
143,Business-focused well-modulated leverage,4,6,46,4
144,Decentralized bifurcated interface,3,10,24,5
145,Multi-layered transitional time-frame,1,4,95,3
146,Innovative systematic paradigm,1,7,76,5
147,Customizable radical intranet,1,6,54,3
148,Cloned multi-tasking artificial intelligence,1,6,14,2
149,Inverse logistical strategy,4,1,23,4
150,Configurable 6thgeneration benchmark,4,5,42,4
151,Customer-focused 5thgeneration model,4,8,19,5
152,Programmable impactful infrastructure,3,3,52,2
153,User-centric eco-centric ability,3,4,88,4
154,Centralized secondary neural-net,2,10,79,3
155,Progressive zero tolerance encryption,1,10,76,3
156,Re-engineered background secured line,3,3,35,1
157,Customizable regional collaboration,2,5,17,4
158,Proactive bifurcated solution,4,2,43,1
159,Synergized user-facing workforce,4,3,69,4
160,Distributed maximized software,2,7,89,3
161,Face-to-face executive service-desk,3,3,58,5
162,Multi-layered zero administration core,1,2,33,1
163,Fully-configurable stable circuit,1,5,91,5
164,Enterprise-wide systematic Graphical User Interface,4,3,34,2
165,Re-engineered encompassing standardization,3,4,87,3
166,Centralized uniform data-warehouse,3,7,47,1
167,Grass-roots intangible open system,4,4,88,2
168,Compatible hybrid project,4,4,33,4
169,Exclusive national analyzer,1,8,65,5
170,Business-focused holistic implementation,1,5,90,4
171,Synchronized bifurcated project,1,5,60,1
172,Synergized dynamic website,4,2,25,4
173,Decentralized secondary adapter,1,5,75,4
174,Polarized 4thgeneration circuit,4,4,7,5
175,Seamless zero tolerance array,4,2,45,4
176,Exclusive zero administration core,4,6,21,3
177,Team-oriented intermediate extranet,3,3,54,1
178,Streamlined empowering synergy,3,6,5,1
179,Multi-lateral analyzing model,2,1,50,4
180,Operative clear-thinking projection,2,6,55,2
181,Focused executive matrices,2,3,30,2
182,Future-proofed secondary moratorium,3,6,31,1
183,Compatible cohesive workforce,2,5,8,3
184,Grass-roots tangible encryption,4,3,33,4
185,Polarized bandwidth-monitored benchmark,3,4,57,5
186,Polarized high-level moderator,1,6,89,2
187,Multi-channeled grid-enabled synergy,1,5,75,5
188,Function-based asymmetric definition,2,4,97,4
189,Vision-oriented stable utilization,3,2,18,1
190,Synergized client-server utilization,4,7,10,4
191,Reduced bottom-line encryption,2,7,12,5
192,Enterprise-wide interactive toolset,1,4,92,2
193,Upgradable stable circuit,4,5,76,1
194,Programmable demand-driven capability,3,4,39,3
195,Streamlined actuating neural-net,4,4,6,2
196,Pre-emptive optimal capacity,1,3,45,5
197,Profit-focused asymmetric neural-net,2,5,65,2
198,Profit-focused solution-oriented neural-net,4,8,49,5
199,Progressive bandwidth-monitored benchmark,1,6,50,4
200,Seamless intangible structure,2,8,58,1
201,Compatible disintermediate protocol,1,5,55,2
202,Horizontal methodical algorithm,1,10,13,2
203,Programmable cohesive open architecture,2,10,51,2
204,Cross-platform composite orchestration,3,10,95,4
205,Centralized client-server intranet,4,8,21,2
206,Face-to-face systemic Graphic Interface,1,9,23,5
207,Multi-tiered interactive initiative,4,2,67,5
208,Synchronized global task-force,1,4,42,1
209,Extended neutral artificial intelligence,2,7,13,5
210,Diverse stable capability,3,1,37,4
211,Configurable neutral throughput,1,6,100,4
212,Right-sized upward-trending knowledge user,4,9,77,2
213,Progressive responsive website,1,2,56,5
214,Ameliorated solution-oriented forecast,4,6,27,1
215,Realigned systemic function,1,3,56,1
216,User-friendly asynchronous capability,3,5,42,2
217,Proactive fault-tolerant function,1,10,34,4
218,Managed foreground service-desk,3,4,52,4
219,Polarized zero-defect project,1,10,79,2
220,Balanced modular firmware,3,6,75,3
221,Fully-configurable actuating productivity,1,7,100,1
222,Universal 3rdgeneration analyzer,1,4,48,3
223,Progressive grid-enabled emulation,4,3,41,5
224,Advanced optimizing flexibility,3,7,38,5
225,Cross-platform discrete solution,4,4,89,3
226,Fundamental directional utilization,1,6,43,5
227,Customer-focused multi-state toolset,1,8,5,2
228,Intuitive holistic encryption,3,3,74,4
229,Stand-alone zero tolerance hierarchy,4,7,77,1
230,Organic 5thgeneration infrastructure,4,5,14,2
231,Horizontal heuristic contingency,1,7,53,4
232,Ergonomic user-facing Internet solution,3,6,15,3
233,Proactive impactful parallelism,2,1,96,1
234,Assimilated encompassing software,2,8,31,3
235,Fully-configurable systematic functionalities,4,3,15,1
236,Cross-platform intangible installation,4,4,7,3
237,Pre-emptive neutral intranet,4,3,43,1
238,Open-architected background infrastructure,3,8,87,1
239,Self-enabling even-keeled encoding,1,1,73,3
240,Diverse leadingedge Local Area Network,4,9,21,1
241,Reactive intermediate process improvement,3,5,23,2
242,Compatible analyzing secured line,1,6,46,4
243,Phased multimedia application,1,5,4,3
244,Pre-emptive empowering solution,3,5,43,4
245,Upgradable full-range project,4,9,97,2
246,Proactive discrete budgetary management,1,7,37,3
247,Self-enabling tertiary attitude,1,6,98,4
248,Synchronized local firmware,1,10,61,5
249,Exclusive optimal Graphical User Interface,1,9,77,1
250,Self-enabling dedicated pricing structure,1,4,52,5
251,Reduced multi-state conglomeration,2,3,8,5
252,Phased mission-critical access,4,1,94,5
253,Operative tertiary functionalities,3,5,68,3
254,Enterprise-wide neutral service-desk,3,8,59,3
255,Multi-lateral context-sensitive complexity,2,5,6,3
256,Assimilated scalable access,4,6,16,4
257,Multi-lateral demand-driven collaboration,3,3,85,3
258,Re-engineered heuristic workforce,1,4,50,4
259,Ameliorated empowering Internet solution,2,8,92,1
260,Customizable bandwidth-monitored portal,1,1,11,5
261,Implemented intangible contingency,1,5,8,1
262,Networked systemic middleware,3,8,52,1
263,Re-engineered reciprocal attitude,2,10,88,4
264,Multi-lateral explicit process improvement,1,6,19,1
265,Cloned empowering open architecture,3,3,20,1
266,Reactive national knowledge user,4,2,43,5
267,Business-focused cohesive attitude,2,3,4,2
268,Inverse upward-trending synergy,4,4,32,5
269,Operative secondary installation,4,3,37,2
270,Balanced non-volatile hub,4,6,42,3
271,Synchronized bifurcated portal,2,10,36,2
272,Multi-tiered transitional methodology,1,10,59,5
273,Customizable non-volatile installation,2,1,10,2
274,Organized neutral software,4,3,83,3
275,Adaptive full-range frame,1,8,48,3
276,Persistent non-volatile standardization,3,1,99,2
277,De-engineered needs-based ability,4,9,100,3
278,Cross-group client-server alliance,2,6,52,3
279,Robust global solution,4,2,100,4
280,Configurable regional monitoring,3,8,11,1
281,Focused interactive process improvement,4,5,26,5
282,Front-line tangible matrices,2,5,97,4
283,Cross-platform clear-thinking adapter,1,8,86,4
284,Expanded systemic analyzer,3,8,96,4
285,Total zero tolerance paradigm,2,6,85,2
286,User-centric regional functionalities,2,5,80,5
287,Intuitive mission-critical application,2,9,48,5
288,Reduced needs-based ability,1,7,91,1
289,Compatible human-resource portal,2,6,36,5
290,Proactive directional ability,3,6,99,3
291,Customer-focused grid-enabled solution,1,5,58,4
292,Proactive user-facing core,1,9,29,5
293,Operative systematic portal,2,2,77,4
294,Organized foreground product,3,1,90,3
295,Persevering actuating policy,1,6,1,5
296,Secured client-driven firmware,2,3,17,1
297,Organized radical conglomeration,2,1,35,2
298,Configurable zero tolerance ability,3,2,54,5
299,User-centric high-level flexibility,2,9,20,4
300,Exclusive uniform conglomeration,3,9,98,5
301,Mandatory high-level knowledgebase,3,4,89,1
302,Mandatory content-based task-force,1,6,51,3
303,Robust logistical Internet solution,3,6,66,4
304,Virtual cohesive extranet,4,6,66,5
305,Operative zero administration hub,1,10,29,1
306,Versatile dynamic hardware,2,8,67,2
307,Visionary bi-directional Local Area Network,4,1,30,5
308,Intuitive object-oriented adapter,2,2,84,3
309,Persistent even-keeled throughput,3,9,12,2
310,User-friendly reciprocal model,4,4,79,5
311,Multi-tiered demand-driven pricing structure,2,10,65,1
312,Multi-lateral human-resource open system,4,10,42,4
313,Decentralized responsive projection,3,8,8,1
314,Mandatory bifurcated project,4,3,80,2
315,Multi-layered exuding workforce,1,3,41,3
316,Assimilated transitional array,4,4,20,5
317,Re-contextualized object-oriented hierarchy,4,1,47,5
318,Horizontal user-facing artificial intelligence,1,1,23,1
319,Organic background structure,2,4,30,4
320,Inverse actuating challenge,1,2,68,5
321,Quality-focused high-level definition,3,2,76,2
322,Persevering full-range intranet,2,1,86,1
323,Ergonomic upward-trending definition,2,8,11,3
324,Exclusive value-added interface,1,1,72,2
325,Centralized zero-defect monitoring,4,1,51,4
326,Virtual 4thgeneration definition,1,4,54,1
327,Grass-roots well-modulated hub,4,6,3,1
328,Pre-emptive bi-directional task-force,3,4,91,3
329,Automated heuristic definition,1,6,31,3
330,Multi-lateral 5thgeneration projection,3,5,71,5
331,Optional 24/7 parallelism,2,1,95,1
332,Synergized regional collaboration,1,5,54,5
333,Networked multi-state forecast,3,1,32,2
334,Compatible foreground policy,2,6,36,3
335,Total local algorithm,4,1,9,3
336,Innovative explicit approach,3,5,45,1
337,Cloned homogeneous intranet,2,1,87,5
338,Universal encompassing workforce,3,1,69,5
339,Managed interactive strategy,2,3,97,4
340,Front-line tertiary matrix,3,4,69,4
341,Seamless tertiary workforce,2,9,56,1
342,Down-sized explicit middleware,2,3,20,1
343,Devolved attitude-oriented paradigm,3,6,87,1
344,Multi-tiered secondary groupware,1,9,80,4
345,Multi-channeled next generation encryption,1,2,24,2
346,Face-to-face clear-thinking customer loyalty,3,4,95,5
347,Managed attitude-oriented frame,1,4,23,5
348,Compatible neutral neural-net,2,1,12,2
349,Operative content-based complexity,3,1,44,2
350,Integrated executive infrastructure,4,10,44,5
351,Proactive neutral neural-net,2,4,51,3
352,Persevering client-server implementation,1,7,85,4
353,Multi-layered high-level secured line,2,10,87,3
354,Multi-layered dynamic firmware,2,2,41,4
355,Assimilated methodical benchmark,2,5,4,5
356,User-friendly client-driven workforce,1,4,86,4
357,Balanced incremental encoding,4,7,91,2
358,Down-sized clear-thinking flexibility,3,1,80,1
359,Progressive 5thgeneration ability,2,3,17,4
360,Multi-layered empowering array,2,10,58,4
361,Versatile fault-tolerant workforce,4,6,85,2
362,Enterprise-wide intermediate interface,3,9,80,3
363,Innovative 24hour methodology,4,5,32,4
364,Operative actuating adapter,2,1,59,3
365,Mandatory user-facing utilization,3,5,13,1
366,Intuitive contextually-based array,4,2,54,3
367,Implemented interactive knowledgebase,1,3,43,5
368,Organic local superstructure,1,8,35,3
369,Inverse coherent methodology,2,8,39,2
370,Future-proofed multi-tasking adapter,2,10,11,2
371,Phased leadingedge database,3,9,38,3
372,Digitized didactic moderator,3,10,67,3
373,Expanded impactful workforce,3,2,37,5
374,Grass-roots neutral task-force,1,8,81,2
375,Function-based national data-warehouse,2,10,24,1
376,Quality-focused coherent open architecture,4,2,41,3
377,Extended multi-state product,4,4,27,2
378,Open-architected leadingedge success,4,6,9,2
379,Customer-focused asymmetric throughput,1,5,52,2
380,Adaptive 3rdgeneration forecast,3,6,39,5
381,Devolved scalable encryption,2,7,31,3
382,Enterprise-wide bifurcated time-frame,2,6,2,4
383,Face-to-face logistical system engine,3,7,76,1
384,Proactive methodical implementation,1,10,7,4
385,Visionary grid-enabled concept,1,10,39,4
386,Grass-roots non-volatile standardization,2,5,45,2
387,Intuitive heuristic secured line,1,4,30,4
388,Exclusive actuating capability,3,3,99,4
389,Implemented intermediate portal,1,7,53,2
390,Adaptive attitude-oriented hierarchy,4,4,19,5
391,Function-based needs-based focus group,2,9,41,2
392,Operative exuding access,3,1,84,1
393,Universal fresh-thinking pricing structure,2,5,20,3
394,Customer-focused 24hour functionalities,3,5,32,3
395,Distributed regional model,1,4,90,2
396,Visionary static superstructure,4,8,16,4
397,Exclusive client-server forecast,3,3,19,3
398,Versatile zero-defect analyzer,2,8,32,4
399,Enhanced bandwidth-monitored info-mediaries,1,9,99,4
400,Function-based optimizing firmware,4,1,19,4
401,Expanded logistical neural-net,3,8,66,5
402,Multi-channeled modular encryption,3,10,98,5
403,Integrated exuding leverage,2,9,68,5
404,Profit-focused methodical synergy,4,2,87,5
405,Up-sized foreground core,4,9,61,2
406,De-engineered coherent core,3,2,68,1
407,Monitored bi-directional data-warehouse,1,1,1,3
408,Open-architected maximized open system,4,4,49,3
409,Up-sized user-facing neural-net,1,7,87,1
410,Streamlined systematic ability,4,3,50,5
411,Mandatory motivating open architecture,1,10,82,4
412,Cross-group non-volatile software,2,5,73,1
413,Ameliorated empowering task-force,3,8,5,1
414,Expanded dedicated core,3,2,51,5
415,Object-based system-worthy standardization,4,9,60,1
416,Profit-focused foreground architecture,1,4,22,3
417,Exclusive demand-driven ability,3,9,29,2
418,Ergonomic static conglomeration,3,9,8,5
419,Distributed actuating policy,3,6,96,2
420,Extended actuating product,4,1,72,1
421,Expanded even-keeled archive,4,7,93,5
422,Automated asynchronous implementation,3,2,59,3
423,Total tangible analyzer,2,9,40,3
424,Cross-group bi-directional open architecture,4,1,4,2
425,De-engineered asymmetric utilization,3,2,84,5
426,Down-sized multimedia function,1,6,81,5
427,Future-proofed tertiary function,2,10,36,2
428,Monitored zero tolerance hardware,1,2,24,5
429,Open-architected bandwidth-monitored neural-net,2,10,21,2
430,Profound multi-tasking orchestration,2,2,14,4
431,Integrated optimal product,4,10,61,5
432,Optional upward-trending analyzer,2,5,60,5
433,Triple-buffered context-sensitive workforce,2,2,72,5
434,Advanced maximized project,4,7,70,1
435,Pre-emptive next generation data-warehouse,2,8,7,3
436,Innovative optimizing database,4,6,15,5
437,Distributed reciprocal parallelism,3,6,92,2
438,Up-sized leadingedge Internet solution,3,9,50,3
439,Customizable dedicated hierarchy,2,4,79,5
440,Reduced high-level workforce,4,4,88,1
441,Inverse motivating contingency,4,5,5,1
442,Open-architected homogeneous middleware,1,7,20,3
443,Configurable client-driven productivity,2,10,13,5
444,Exclusive contextually-based leverage,3,4,66,4
445,Robust actuating help-desk,1,9,98,5
446,Face-to-face client-driven archive,2,2,9,1
447,Fully-configurable explicit adapter,1,9,71,5
448,Business-focused needs-based standardization,4,5,23,1
449,Front-line solution-oriented website,1,4,24,3
450,Total 3rdgeneration forecast,1,9,44,2
451,Ameliorated even-keeled process improvement,3,7,66,3
452,Reverse-engineered maximized infrastructure,1,1,3,1
453,Organized exuding service-desk,2,10,8,1
454,Mandatory homogeneous contingency,3,10,97,5
455,Diverse system-worthy infrastructure,3,5,55,5
456,Proactive motivating conglomeration,4,1,67,3
457,Multi-lateral full-range frame,4,6,69,4
458,Exclusive stable Internet solution,4,3,11,3
459,Pre-emptive hybrid interface,2,5,94,4
460,Extended 5thgeneration open architecture,4,4,63,1
461,Synergized 3rdgeneration paradigm,1,4,64,4
462,Business-focused holistic Graphical User Interface,2,2,37,1
463,Persevering optimal moratorium,2,4,42,2
464,Self-enabling multimedia customer loyalty,4,10,72,5
465,Ameliorated directional synergy,2,7,83,2
466,Re-engineered asynchronous approach,3,2,66,5
467,Fully-configurable high-level secured line,2,1,40,1
468,Universal web-enabled initiative,3,10,75,1
469,Horizontal intangible challenge,2,1,97,2
470,Horizontal fault-tolerant support,2,9,77,1
471,Secured dedicated migration,2,9,19,1
472,Future-proofed uniform moderator,1,1,12,2
473,Visionary zero-defect firmware,2,1,57,2
474,Integrated contextually-based implementation,2,9,89,2
475,Front-line transitional policy,2,6,47,4
476,Optional cohesive help-desk,2,10,40,3
477,Operative motivating challenge,1,8,44,1
478,Reverse-engineered analyzing structure,1,3,94,3
479,Progressive needs-based architecture,2,10,25,5
480,Pre-emptive global Graphical User Interface,1,1,60,3
481,Mandatory even-keeled matrices,3,7,63,2
482,Re-engineered secondary hub,1,5,78,5
483,Compatible needs-based attitude,1,1,52,1
484,Team-oriented 24hour approach,3,7,92,3
485,Robust multi-tasking time-frame,1,10,51,4
486,Organic national customer loyalty,4,3,59,3
487,De-engineered mobile analyzer,2,2,45,4
488,Horizontal stable leverage,4,6,66,3
489,Innovative contextually-based matrix,3,1,20,3
490,Diverse logistical focus group,4,3,77,2
491,Inverse content-based extranet,3,1,86,2
492,Fundamental 4thgeneration productivity,3,10,99,4
493,De-engineered cohesive intranet,2,7,78,1
494,Down-sized 4thgeneration attitude,2,10,10,2
495,Horizontal client-server project,4,3,38,1
496,Multi-channeled full-range hardware,1,8,34,5
497,Face-to-face leadingedge application,4,2,49,5
498,Front-line upward-trending focus group,4,7,52,4
499,Digitized bi-directional middleware,1,6,90,5
500,Enhanced cohesive Graphical User Interface,2,10,21,3
